query,Precision@3,Precision@5,Reciprocal Rank,NDCG@5
app details do not load on iOS,0.3333,0.4,1.0,0.9072
application freezes and work is lost,0.3333,0.2,1.0,1.0
buttons do not work in listing view,1.0,1.0,1.0,1.0
crash when opening location picker,1.0,0.8,1.0,0.9877
error occurs when clicking save button,1.0,0.8,1.0,1.0
filter is broken and does not return links,1.0,1.0,1.0,0.9714
login fails with password sync disabled,1.0,1.0,1.0,1.0
opening invalid scene file crashes the frontend,0.6667,0.6,1.0,0.9779
parsing failed when copying from iCloud notes,1.0,0.8,1.0,0.9877
window watcher callback error,1.0,0.8,1.0,0.9877
