query,rank,bug_id,title,faiss_distance_score,label,description,relevance
opening invalid scene file crashes the frontend,1,301,opening invalid scene file crashes the frontend,0.11454173922538757,0,opening invalid scene file crashes the frontend. errors due to scene file loading are not handled properly.,
opening invalid scene file crashes the frontend,2,794,repeated illegalstateexceptions in phpstorm 2016.2.1,1.1795932054519653,0,repeated illegalstateexceptions in phpstorm 2016.2.1. i'm getting this error repeatedly ~35 times in the past 10 minutes in my phpstorm event log.\r \r \r update failed for anaction with id=vcs.showtabbedfilehistory: @notnull method mobi/hsz/idea/gitignore/outer/outerignoreloadercomponent.getouterfiles must not return null\r java.lang.illegalstateexception: @notnull method mobi/hsz/idea/gitignore/outer/outerignoreloadercomponent.getouterfiles must not return null\r \tat mobi.hsz.idea.gitignore.outer.outerignoreloadercomponent.getouterfiles outerignoreloadercomponent.java:124 \r \tat mobi.hsz.idea.gitignore.lang.ignorelanguage.getouterfiles ignorelanguage.java:206 \r \tat mobi.hsz.idea.gitignore.psi.ignorefile.isouter ignorefile.java:154 \r \tat mobi.hsz.idea.gitignore.util.cachemap.isfileignored cachemap.java:182 \r \tat mobi.hsz.idea.gitignore.ignoremanager.isfileignored ignoremanager.j,
opening invalid scene file crashes the frontend,3,601,window watcher error,1.2223055362701416,0,window watcher error. see:\r \r \r 2017-02-27 20:35:02: \r 2017-02-27 20:35:02: 20:35:02 error: luaskin: hs.application.watcher callback error: ...itechris/commandpost/cp/finalcutpro/ui/windowwatcher.lua:53: attempt to index a nil value local 'window' \r stack traceback:\r \t...itechris/commandpost/cp/finalcutpro/ui/windowwatcher.lua:53: in function \r \t ...tail calls... \r \t...t.app/contents/resources/extensions/hs/window/filter.lua:930: in method 'setfilter'\r \t...t.app/contents/resources/extensions/hs/window/filter.lua:947: in method 'filteremitevent'\r \t...t.app/contents/resources/extensions/hs/window/filter.lua:1001: in method 'emitevent'\r \t...t.app/contents/resources/extensions/hs/window/filter.lua:1085: in method 'focused'\r \t...t.app/contents/resources/extensions/hs/window/filter.lua:1277: in function \r \t ...tail calls... \r 2017-02-27 20:35:02: \r 2017-02-27 20:35:02: \,
opening invalid scene file crashes the frontend,4,250,calendardetailsfragment crashes in error handling without context,1.2559423446655273,0,"calendardetailsfragment crashes in error handling without context. >illegalstateexception\r >fragment calendardetailsfragment{d028044} not attached to a context.\r > ... calendardetailsfragment.handledeleteeventerror calendardetailsfragment.kt:114 \r \r \r handledeleteeventerror should probably just swallow the exception, if the context is missing.",
opening invalid scene file crashes the frontend,5,45,changing languages a few times breaks because of too many audiocontexts,1.2972500324249268,0,"changing languages a few times breaks because of too many audiocontexts. changing languages several times causes this error, which totally stops your project from being used.\r \r ! image \r \r > uncaught domexception: failed to construct 'audiocontext': the number of hardware contexts provided 6 is greater than or equal to the maximum bound 6 .\r \r this is actually being caused by the audioengine from scratch-audio, because the audio stuff in the gui has a sharedaudiocontext utility to only ever create one audio context. a similar strategy could be used on the audio engine.",
window watcher callback error,1,601,window watcher error,0.7857396602630615,0,window watcher error. see:\r \r \r 2017-02-27 20:35:02: \r 2017-02-27 20:35:02: 20:35:02 error: luaskin: hs.application.watcher callback error: ...itechris/commandpost/cp/finalcutpro/ui/windowwatcher.lua:53: attempt to index a nil value local 'window' \r stack traceback:\r \t...itechris/commandpost/cp/finalcutpro/ui/windowwatcher.lua:53: in function \r \t ...tail calls... \r \t...t.app/contents/resources/extensions/hs/window/filter.lua:930: in method 'setfilter'\r \t...t.app/contents/resources/extensions/hs/window/filter.lua:947: in method 'filteremitevent'\r \t...t.app/contents/resources/extensions/hs/window/filter.lua:1001: in method 'emitevent'\r \t...t.app/contents/resources/extensions/hs/window/filter.lua:1085: in method 'focused'\r \t...t.app/contents/resources/extensions/hs/window/filter.lua:1277: in function \r \t ...tail calls... \r 2017-02-27 20:35:02: \r 2017-02-27 20:35:02: \,
window watcher callback error,2,416,multiple errors sometimes trigger upon reloading,1.1508336067199707,0,multiple errors sometimes trigger upon reloading. in browser console: \r websocket connection to 'ws://localhost:42224/api/events/stream?roots=1b0ae5d381794c678f165556b30d3fbc&ack' failed: websocket is closed before the connection is established.,
window watcher callback error,3,747,transparent window not always working,1.2265806198120117,0,"transparent window not always working. hi,\r \r my nw.js app has a button that opens a frameless, transparent window. most of the time it works correctly, but every so often maybe once in every 20 times the window is not transparent - it is completely white.\r \r - i am using release 22 on windows 7\r - the html body for the transparent window has background-color:rgba 0,0,0,0 \r - i am running the executable with --disable-gpu and --force-cpu-draw \r - my window options are as follows:\r \r \r var windowopts = {\r \ title\ : \ \ ,\r \ frame\ : false,\r \ fullscreen\ : false,\r \ transparent\ : true,\r \ width\ : ,\r \ height\ : ,\r \ resizable\ : false,\r \ position\ : \ center\ ,\r \ show\ : true,\r \ always_on_top\ : true\r };\r \r \r thanks in advance.",
window watcher callback error,4,133,internalloggingevent thread2 empty!,1.2518784999847412,0,"internalloggingevent thread2 empty!. at /src/loggingevent.cxx \r \r 1. line 78: change , thread2cached true to , thread2cached false \r 2. line 104: add , thread2 rhs.getthread2",
window watcher callback error,5,805,customcontainer.getplugin   is not implemented,1.2535057067871094,0,"customcontainer.getplugin is not implemented. when called in a listener and presumably from other places, as well , an instance of customcontainer as returned from clickinventoryevent.gettargetinventory throws an abstractmethoderror when its getplugin method is called.\r \r here is the stacktrace \r here is my listener code that triggers the error",
